player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
Waqar Salamkheil,Hobart Hurricanes,95700,0,25,23,,,,,,,
AJ Turner,Perth Scorchers,95300,47,59,50,57,,,,,,
GS Sandhu,Melbourne Renegades,94100,,,,,,,,,,
MJ Owen,Hobart Hurricanes,90700,20,151,28,,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
KW Richardson,Melbourne Renegades,87900,31,16,27,,,,,,,
O Davies,Sydney Thunder,86200,28,57,0,,,,,,,
PM Siddle,Melbourne Stars,85300,25,,77,18,48,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
JJ Bazley,Adelaide Strikers,84600,67,16,48,2,,,,,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,,
HWR Cartwright,Melbourne Stars,82900,18,15,14,15,27,,,,,
NR Hobson,Perth Scorchers,82400,62,1,8,92,,,,,,
MT Renshaw,Brisbane Heat,82400,18,89,66,11,,,,,,
SB Harper,Melbourne Stars,81700,11,61,58,12,14,,,,,
MT Steketee,Melbourne Stars,79100,,,,,,,,,,
JW Wells,Melbourne Renegades,78100,,,,,,,,,,
BL Couch,Melbourne Stars,77900,28,1,,,12,,,,,
Sam Konstas,Sydney Thunder,75600,101,0,,,,,,,,
A Zampa,Melbourne Renegades,73800,8,28,34,,,,,,,
JJS Sangha,Sydney Thunder,73800,,,59,,,,,,,
P Hatzoglou,Hobart Hurricanes,72600,,,,,,,,,,
JS Paris,Melbourne Stars,72200,,,,,39,,,,,
B Doggett,Adelaide Strikers,71000,,,,,,,,,,
JA Davies,Sydney Sixers,68800,49,9,,,,,,,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
TF Rogers,Melbourne Stars,65900,24,1,2,12,,,,,,
CP Jewell,Hobart Hurricanes,65800,,7,32,,,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
T Murphy,Sydney Sixers,64000,4,1,77,55,,,,,,
JP Wood,Brisbane Heat,63900,42,,,,,,,,,
KR Patterson,Sydney Sixers,62400,,,,67,,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
B Stanlake,Hobart Hurricanes,61400,26,21,33,,,,,,,
Matthew Spoors,Perth Scorchers,60900,,,30,,,,,,,
W Prestwidge,Brisbane Heat,60900,12,44,,,,,,,,
M Gilkes,Sydney Thunder,58500,,,,,,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
J Merlo,Melbourne Stars,58500,,,,8,3,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
MW Harvey,Melbourne Renegades,57600,11,10,49,,,,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
TH David,Hobart Hurricanes,55200,0,0,68,,,,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
Liam Scott,Adelaide Strikers,44600,,8,40,26,,,,,,
Doug Warren,Melbourne Stars,43500,,,,4,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
S Fanning,Perth Scorchers,39500,,,,,,,,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
