player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
SW Billings,Sydney Thunder,133400,29,35,147,40,,,,,,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
BJ Webster,Melbourne Stars,129600,19,47,3,,100,,,,,
CA Lynn,Adelaide Strikers,129400,2,,24,19,1,123,,,,
LR Morris,Perth Scorchers,129100,51,3,,54,74,,,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
Shai Hope,Hobart Hurricanes,126200,13,38,62,4,,,,,,
Usama Mir,Melbourne Stars,125100,,,,27,59,43,,,,
DJM Short,Adelaide Strikers,124700,,85,1,66,23,37,,,,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,,
BR McDermott,Hobart Hurricanes,123000,20,15,103,44,,,,,,
DA Warner,Sydney Thunder,120000,17,37,29,116,,,,,,
J Weatherald,Adelaide Strikers,118900,65,11,,,18,3,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,,,,
MJ Owen,Hobart Hurricanes,117100,20,151,28,68,,,,,,
WA Agar,Sydney Thunder,116600,,,102,104,,,,,,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
MP Stoinis,Melbourne Stars,114700,37,96,46,24,27,96,,,,
HTRY Thornton,Adelaide Strikers,114000,52,56,50,4,47,106,,,,
CT Bancroft,Sydney Thunder,113500,6,100,31,18,,,,,,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
RP Meredith,Hobart Hurricanes,112600,28,112,1,62,,,,,,
AJ Turner,Perth Scorchers,112400,47,59,50,57,63,,,,,
JC Silk,Sydney Sixers,111000,12,61,69,20,20,,,,,
H Kerr,Sydney Sixers,110700,30,,35,69,24,,,,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
M Kelly,Perth Scorchers,108600,,,48,49,,,,,,
LJ Evans,Melbourne Renegades,108000,11,17,44,70,26,,,,,
MC Henriques,Sydney Sixers,105600,98,17,11,29,32,,,,,
J Fraser-McGurk,Melbourne Renegades,105100,46,5,12,26,1,,,,,
CJ Jordan,Hobart Hurricanes,104900,0,11,63,114,,,,,,
MP Kuhnemann,Brisbane Heat,104800,29,13,42,1,2,,,,,
J Brown,Melbourne Renegades,103000,47,23,12,27,101,,,,,
MT Renshaw,Brisbane Heat,102800,18,89,66,11,19,,,,,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
Jacob Bethell,Melbourne Renegades,100700,,3,40,2,67,,,,,
PM Siddle,Melbourne Stars,99300,25,,77,18,48,33,,,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
AI Ross,Adelaide Strikers,98400,37,55,40,8,30,6,,,,
M Bryant,Brisbane Heat,98200,61,3,70,2,112,,,,,
C Munro,Brisbane Heat,96300,,7,6,9,1,,,,,
MJ Swepson,Brisbane Heat,95200,52,10,27,15,0,,,,,
GS Sandhu,Melbourne Renegades,94100,,,,,,,,,,
Nikhil Chaudhary,Hobart Hurricanes,94000,2,1,43,100,,,,,,
Matthew Hurst,Perth Scorchers,93300,24,6,,38,33,,,,,
Sherfane Rutherford,Sydney Thunder,92800,3,8,2,11,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
KW Richardson,Melbourne Renegades,87900,31,16,27,43,6,,,,,
CJ Boyce,Adelaide Strikers,87200,26,35,4,1,42,40,,,,
Finn Allen,Perth Scorchers,86900,6,4,0,20,85,,,,,
NR Hobson,Perth Scorchers,86800,62,1,8,92,0,,,,,
O Davies,Sydney Thunder,85700,28,57,0,10,,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
Waqar Salamkheil,Hobart Hurricanes,83700,0,25,23,51,,,,,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,,
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
SB Harper,Melbourne Stars,82100,11,61,58,12,14,28,,,,
T Murphy,Sydney Sixers,80800,4,1,77,55,16,,,,,
JJ Bazley,Adelaide Strikers,79800,67,16,48,2,,11,,,,
MT Steketee,Melbourne Stars,79100,,,,,,47,,,,
JW Wells,Melbourne Renegades,78100,,,,,,,,,,
HWR Cartwright,Melbourne Stars,76100,18,15,14,15,27,1,,,,
JS Paris,Melbourne Stars,75900,,,,,39,52,,,,
Sam Konstas,Sydney Thunder,75600,101,0,,,,,,,,
A Zampa,Melbourne Renegades,73800,8,28,34,43,60,,,,,
KR Patterson,Sydney Sixers,73800,,,,67,9,,,,,
P Hatzoglou,Hobart Hurricanes,72600,,,,56,,,,,,
B Doggett,Adelaide Strikers,71000,,,,,103,75,,,,
JA Davies,Sydney Sixers,68800,49,9,,,,,,,,
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
B Stanlake,Hobart Hurricanes,65800,26,21,33,63,,,,,,
CP Jewell,Hobart Hurricanes,64500,,7,32,,,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
JP Wood,Brisbane Heat,63900,42,,,,,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
Matthew Spoors,Perth Scorchers,60900,,,30,,,,,,,
W Prestwidge,Brisbane Heat,60900,12,44,,,14,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
M Gilkes,Sydney Thunder,58500,,,,23,,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
TH David,Hobart Hurricanes,58200,0,0,68,14,,,,,,
MW Harvey,Melbourne Renegades,57600,11,10,49,9,6,,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
TF Rogers,Melbourne Stars,53600,24,1,2,12,,6,,,,
Liam Scott,Adelaide Strikers,51800,,8,40,26,0,,,,,
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
S Fanning,Perth Scorchers,39500,,,,,,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,,,,,
