player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
SPD Smith,Sydney Sixers,218400,,,,,,,,,,
SW Billings,Sydney Thunder,153600,29,35,147,40,13,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
T Murphy,Sydney Sixers,96300,4,1,77,55,16,,,,,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,,
TF Rogers,Melbourne Stars,44800,24,1,2,12,,6,1,,,
TH David,Hobart Hurricanes,63300,0,0,68,14,97,,,,,
Tim Seifert,Melbourne Renegades,155500,85,92,53,19,4,27,,,,
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,,,,
Tom Andrews,Sydney Thunder,64100,,,36,29,37,,,,,
TS Rogers,Melbourne Renegades,171200,39,78,111,66,64,29,,,,
Usama Mir,Melbourne Stars,124700,,,,27,59,43,35,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
W Prestwidge,Brisbane Heat,62400,12,44,,,14,,,,,
W Sutherland,Melbourne Renegades,174200,99,118,63,42,24,16,,,,
WA Agar,Sydney Thunder,146800,,,102,104,4,,,,,
Waqar Salamkheil,Hobart Hurricanes,86500,0,25,23,51,43,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,1,,,,
XC Bartlett,Brisbane Heat,183600,90,50,9,50,137,,,,,
