player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
NT Ellis,Hobart Hurricanes,148000,115,57,33,,20,,,,,
Sherfane Rutherford,Sydney Thunder,76100,3,8,2,11,75,11,,,,
Ollie Pope,Adelaide Strikers,120800,,18,44,54,1,47,68,,,
P Hatzoglou,Hobart Hurricanes,79700,,,,56,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
MJ Swepson,Brisbane Heat,81100,52,10,27,15,0,,14,,,
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
RP Meredith,Hobart Hurricanes,117900,28,112,1,62,38,,,,,
Sam Konstas,Sydney Thunder,75600,101,0,,,,,,,,
S Fanning,Perth Scorchers,39500,,,,,,,,,,
JA Davies,Sydney Sixers,68800,49,9,,,,,,,,
M Gilkes,Sydney Thunder,64300,,,,23,43,45,,,,
HWR Cartwright,Melbourne Stars,66300,18,15,14,15,27,1,49,2,,
C Munro,Brisbane Heat,75600,,7,6,9,1,,23,,,
Shai Hope,Hobart Hurricanes,106700,13,38,62,4,11,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
Tom Andrews,Sydney Thunder,64100,,,36,29,37,44,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
O Davies,Sydney Thunder,62400,28,57,0,10,3,20,,,,
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
TH David,Hobart Hurricanes,90100,0,0,68,14,97,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,21,,,
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
JP Wood,Brisbane Heat,63900,42,,,,,,2,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
TF Rogers,Melbourne Stars,39500,24,1,2,12,,6,1,,,
W Prestwidge,Brisbane Heat,62400,12,44,,,14,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
Waqar Salamkheil,Hobart Hurricanes,92200,0,25,23,51,43,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,1,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
