player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
BL Couch,Melbourne Stars,85000,28,1,,,,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
AI Ross,Adelaide Strikers,84500,37,,,,,,,,,
MP Stoinis,Melbourne Stars,84200,37,96,,,,,,,,
RP Meredith,Hobart Hurricanes,83400,28,,,,,,,,,
T Murphy,Sydney Sixers,81400,4,,,,,,,,,
A Zampa,Melbourne Renegades,80100,8,28,,,,,,,,
MT Steketee,Melbourne Stars,79100,,,,,,,,,,
O Davies,Sydney Thunder,78100,28,,,,,,,,,
JW Wells,Melbourne Renegades,78100,,,,,,,,,,
NR Hobson,Perth Scorchers,78000,62,,,,,,,,,
JJS Sangha,Sydney Thunder,73800,,,,,,,,,,
P Hatzoglou,Hobart Hurricanes,72600,,,,,,,,,,
TH David,Hobart Hurricanes,72400,0,,,,,,,,,
PM Siddle,Melbourne Stars,72400,25,,,,,,,,,
JS Paris,Melbourne Stars,72200,,,,,,,,,,
B Doggett,Adelaide Strikers,71000,,,,,,,,,,
AJ Turner,Perth Scorchers,70400,47,,,,,,,,,
CP Jewell,Hobart Hurricanes,70000,,,,,,,,,,
H McKenzie,Melbourne Stars,69400,11,31,,,,,,,,
MT Renshaw,Brisbane Heat,68800,18,,,,,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
KR Patterson,Sydney Sixers,62400,,,,,,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
JJ Bazley,Adelaide Strikers,58500,67,,,,,,,,,
JA Davies,Sydney Sixers,58500,49,,,,,,,,,
M Gilkes,Sydney Thunder,58500,,,,,,,,,,
SB Harper,Melbourne Stars,58500,11,61,,,,,,,,
MS Harris,Melbourne Renegades,58500,,,,,,,,,,
MW Harvey,Melbourne Renegades,58500,11,10,,,,,,,,
C Kellaway,Melbourne Stars,58500,,1,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
J Merlo,Melbourne Stars,58500,,,,,,,,,,
HJ Nielsen,Adelaide Strikers,58500,,,,,,,,,,
MJ Owen,Hobart Hurricanes,58500,20,,,,,,,,,
W Prestwidge,Brisbane Heat,58500,12,,,,,,,,,
Matthew Spoors,Perth Scorchers,58500,,,,,,,,,,
B Stanlake,Hobart Hurricanes,58500,26,,,,,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
JP Wood,Brisbane Heat,58500,42,,,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,,,,,
Harry Dixon,Melbourne Renegades,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
S Fanning,Perth Scorchers,39500,,,,,,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
Sam Konstas,Sydney Thunder,39500,101,,,,,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
Doug Warren,Melbourne Stars,39500,,,,,,,,,,
