player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
CJ Boyce,Adelaide Strikers,98000,26,35,4,1,42,40,63,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
AJ Tye,Perth Scorchers,120600,34,,46,71,46,27,,2,,
PI Walter,Brisbane Heat,135300,13,44,25,51,23,,,,,
MC Henriques,Sydney Sixers,103400,98,17,11,29,32,,23,112,15,
JS Paris,Melbourne Stars,125500,,,,,39,52,77,2,113,
GS Sandhu,Melbourne Renegades,109200,,,,,,79,19,,,
AJ Turner,Perth Scorchers,106800,47,59,50,57,63,0,8,101,4,
JC Silk,Sydney Sixers,83900,12,61,69,20,20,,11,10,13,
Tim Seifert,Melbourne Renegades,102200,85,92,53,19,4,27,35,46,24,
J Weatherald,Adelaide Strikers,79400,65,11,,,18,3,13,,,
SW Billings,Sydney Thunder,123700,29,35,147,40,13,20,,63,33,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
KW Richardson,Melbourne Renegades,93500,31,16,27,43,6,,37,78,,
WA Agar,Sydney Thunder,122500,,,102,104,4,24,,25,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,112,
CT Bancroft,Sydney Thunder,101100,6,100,31,18,0,,,,,
M Kelly,Perth Scorchers,98700,,,48,49,,21,5,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,58,
MS Wade,Hobart Hurricanes,114800,5,,,35,57,,33,66,15,
Matthew Hurst,Perth Scorchers,91500,24,6,,38,33,38,,,,
AM Hardie,Perth Scorchers,82000,,,,24,2,10,34,0,37,
NR Hobson,Perth Scorchers,72600,62,1,8,92,0,36,12,12,20,
T Murphy,Sydney Sixers,77700,4,1,77,55,16,,2,1,44,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
KR Patterson,Sydney Sixers,69200,,,,67,9,,18,12,,
BR McDermott,Hobart Hurricanes,114700,20,15,103,44,17,,0,,,
MT Renshaw,Brisbane Heat,110300,18,89,66,11,19,,63,59,65,
Tom Alsop,Brisbane Heat,105900,,,,,,,39,10,69,
MP Stoinis,Melbourne Stars,140300,37,96,46,24,27,96,59,57,19,
Matthew Spoors,Perth Scorchers,62500,,,30,,,1,,54,38,
JW Wells,Melbourne Renegades,84400,,,,,,60,0,,,
Shai Hope,Hobart Hurricanes,106700,13,38,62,4,11,,,,,
NA McSweeney,Brisbane Heat,100800,,138,39,34,9,,17,68,21,
MT Steketee,Melbourne Stars,144500,,,,,,47,34,97,140,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
JJ Bazley,Adelaide Strikers,60400,67,16,48,2,,11,18,,,
Tom Andrews,Sydney Thunder,86100,,,36,29,37,44,,51,100,
MP Kuhnemann,Brisbane Heat,95200,29,13,42,1,2,,57,83,2,
B Stanlake,Hobart Hurricanes,94900,26,21,33,63,25,,43,13,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,68,
MW Harvey,Melbourne Renegades,58000,11,10,49,9,6,,,,,
S Fanning,Perth Scorchers,51300,,,,,,,,66,11,
Waqar Salamkheil,Hobart Hurricanes,92200,0,25,23,51,43,,,,,
Sam Konstas,Sydney Thunder,83100,101,0,,,,,,14,68,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
JP Wood,Brisbane Heat,65100,42,,,,,,2,34,,
PM Siddle,Melbourne Stars,124400,25,,77,18,48,33,49,61,76,
P Hatzoglou,Hobart Hurricanes,81700,,,,56,,,14,11,0,
CP Jewell,Hobart Hurricanes,64500,,7,32,,,,,1,116,
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,6,
JA Davies,Sydney Sixers,66600,49,9,,,,,,9,,
Sherfane Rutherford,Sydney Thunder,79800,3,8,2,11,75,11,,,,
SB Harper,Melbourne Stars,62600,11,61,58,12,14,28,41,4,0,
MJ Swepson,Brisbane Heat,63400,52,10,27,15,0,,14,46,34,
CA Wakim,Hobart Hurricanes,44100,,,,,,,36,12,0,
M Gilkes,Sydney Thunder,77900,,,,23,43,45,,9,38,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
Liam Scott,Adelaide Strikers,52300,,8,40,26,0,,,,,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
TF Rogers,Melbourne Stars,39500,24,1,2,12,,6,1,,10,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
MS Harris,Melbourne Renegades,52500,,,,,,,21,1,11,
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,38,31,
W Prestwidge,Brisbane Heat,62400,12,44,,,14,,,,,
O Davies,Sydney Thunder,49300,28,57,0,10,3,20,,17,,
J Fraser-McGurk,Melbourne Renegades,50200,46,5,12,26,1,12,0,19,17,
Usama Mir,Melbourne Stars,129200,,,,27,59,43,35,90,14,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
C Munro,Brisbane Heat,49100,,7,6,9,1,,23,0,,
Harry Dixon,Melbourne Renegades,43300,,,,,,,,33,1,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,7,18,
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,1,,,,
Callum Vidler,Brisbane Heat,39500,,,,,,,,,,
